param,year,unit,season,area,iter,data
a,1990,unique,1,unique,1,1914.226979
b,1990,unique,1,unique,1,515.0754097
c,1990,unique,1,unique,1,0.752158888
a,1991,unique,1,unique,1,1914.226979
b,1991,unique,1,unique,1,515.0754097
c,1991,unique,1,unique,1,0.752158888
a,1992,unique,1,unique,1,1914.226979
b,1992,unique,1,unique,1,515.0754097
c,1992,unique,1,unique,1,0.752158888
a,1993,unique,1,unique,1,2111.393765
b,1993,unique,1,unique,1,688.8966863
c,1993,unique,1,unique,1,0.818717705
a,1994,unique,1,unique,1,2111.393765
b,1994,unique,1,unique,1,688.8966863
c,1994,unique,1,unique,1,0.818717705
a,1995,unique,1,unique,1,2111.393765
b,1995,unique,1,unique,1,688.8966863
c,1995,unique,1,unique,1,0.818717705
a,1996,unique,1,unique,1,2111.393765
b,1996,unique,1,unique,1,688.8966863
c,1996,unique,1,unique,1,0.818717705
a,1997,unique,1,unique,1,2111.393765
b,1997,unique,1,unique,1,688.8966863
c,1997,unique,1,unique,1,0.818717705
a,1998,unique,1,unique,1,2111.393765
b,1998,unique,1,unique,1,688.8966863
c,1998,unique,1,unique,1,0.818717705
a,1999,unique,1,unique,1,2111.393765
b,1999,unique,1,unique,1,688.8966863
c,1999,unique,1,unique,1,0.818717705
a,2000,unique,1,unique,1,2111.393765
b,2000,unique,1,unique,1,688.8966863
c,2000,unique,1,unique,1,0.818717705
a,2001,unique,1,unique,1,2111.393765
b,2001,unique,1,unique,1,688.8966863
c,2001,unique,1,unique,1,0.818717705
a,2002,unique,1,unique,1,2111.393765
b,2002,unique,1,unique,1,688.8966863
c,2002,unique,1,unique,1,0.818717705
a,2003,unique,1,unique,1,2111.393765
b,2003,unique,1,unique,1,688.8966863
c,2003,unique,1,unique,1,0.818717705
a,2004,unique,1,unique,1,2111.393765
b,2004,unique,1,unique,1,688.8966863
c,2004,unique,1,unique,1,0.818717705
a,2005,unique,1,unique,1,2111.393765
b,2005,unique,1,unique,1,688.8966863
c,2005,unique,1,unique,1,0.818717705
a,2006,unique,1,unique,1,2111.393765
b,2006,unique,1,unique,1,688.8966863
c,2006,unique,1,unique,1,0.818717705
a,2007,unique,1,unique,1,2111.393765
b,2007,unique,1,unique,1,688.8966863
c,2007,unique,1,unique,1,0.818717705
a,2008,unique,1,unique,1,2111.393765
b,2008,unique,1,unique,1,688.8966863
c,2008,unique,1,unique,1,0.818717705
a,2009,unique,1,unique,1,2111.393765
b,2009,unique,1,unique,1,688.8966863
c,2009,unique,1,unique,1,0.818717705
a,2010,unique,1,unique,1,2111.393765
b,2010,unique,1,unique,1,688.8966863
c,2010,unique,1,unique,1,0.818717705
a,2011,unique,1,unique,1,2111.393765
b,2011,unique,1,unique,1,688.8966863
c,2011,unique,1,unique,1,0.818717705
a,2012,unique,1,unique,1,2111.393765
b,2012,unique,1,unique,1,688.8966863
c,2012,unique,1,unique,1,0.818717705
a,2013,unique,1,unique,1,2111.393765
b,2013,unique,1,unique,1,688.8966863
c,2013,unique,1,unique,1,0.818717705
a,2014,unique,1,unique,1,2111.393765
b,2014,unique,1,unique,1,688.8966863
c,2014,unique,1,unique,1,0.818717705
a,2015,unique,1,unique,1,2111.393765
b,2015,unique,1,unique,1,688.8966863
c,2015,unique,1,unique,1,0.818717705
a,2016,unique,1,unique,1,2111.393765
b,2016,unique,1,unique,1,688.8966863
c,2016,unique,1,unique,1,0.818717705
a,2017,unique,1,unique,1,2111.393765
b,2017,unique,1,unique,1,688.8966863
c,2017,unique,1,unique,1,0.818717705
a,2018,unique,1,unique,1,2111.393765
b,2018,unique,1,unique,1,688.8966863
c,2018,unique,1,unique,1,0.818717705
a,2019,unique,1,unique,1,2111.393765
b,2019,unique,1,unique,1,688.8966863
c,2019,unique,1,unique,1,0.818717705
a,2020,unique,1,unique,1,2111.393765
b,2020,unique,1,unique,1,688.8966863
c,2020,unique,1,unique,1,0.818717705
a,2021,unique,1,unique,1,2111.393765
b,2021,unique,1,unique,1,688.8966863
c,2021,unique,1,unique,1,0.818717705
a,2022,unique,1,unique,1,2111.393765
b,2022,unique,1,unique,1,688.8966863
c,2022,unique,1,unique,1,0.818717705
a,2023,unique,1,unique,1,2111.393765
b,2023,unique,1,unique,1,688.8966863
c,2023,unique,1,unique,1,0.818717705
a,2024,unique,1,unique,1,2111.393765
b,2024,unique,1,unique,1,688.8966863
c,2024,unique,1,unique,1,0.818717705
a,2025,unique,1,unique,1,2111.393765
b,2025,unique,1,unique,1,688.8966863
c,2025,unique,1,unique,1,0.818717705
a,1990,unique,1,unique,2,1914.226979
b,1990,unique,1,unique,2,515.0754097
c,1990,unique,1,unique,2,0.752158888
a,1991,unique,1,unique,2,1914.226979
b,1991,unique,1,unique,2,515.0754097
c,1991,unique,1,unique,2,0.752158888
a,1992,unique,1,unique,2,1914.226979
b,1992,unique,1,unique,2,515.0754097
c,1992,unique,1,unique,2,0.752158888
a,1993,unique,1,unique,2,2047.694784
b,1993,unique,1,unique,2,539.9526306
c,1993,unique,1,unique,2,0.736627709
a,1994,unique,1,unique,2,2047.694784
b,1994,unique,1,unique,2,539.9526306
c,1994,unique,1,unique,2,0.736627709
a,1995,unique,1,unique,2,2047.694784
b,1995,unique,1,unique,2,539.9526306
c,1995,unique,1,unique,2,0.736627709
a,1996,unique,1,unique,2,2047.694784
b,1996,unique,1,unique,2,539.9526306
c,1996,unique,1,unique,2,0.736627709
a,1997,unique,1,unique,2,2047.694784
b,1997,unique,1,unique,2,539.9526306
c,1997,unique,1,unique,2,0.736627709
a,1998,unique,1,unique,2,2047.694784
b,1998,unique,1,unique,2,539.9526306
c,1998,unique,1,unique,2,0.736627709
a,1999,unique,1,unique,2,2047.694784
b,1999,unique,1,unique,2,539.9526306
c,1999,unique,1,unique,2,0.736627709
a,2000,unique,1,unique,2,2047.694784
b,2000,unique,1,unique,2,539.9526306
c,2000,unique,1,unique,2,0.736627709
a,2001,unique,1,unique,2,2047.694784
b,2001,unique,1,unique,2,539.9526306
c,2001,unique,1,unique,2,0.736627709
a,2002,unique,1,unique,2,2047.694784
b,2002,unique,1,unique,2,539.9526306
c,2002,unique,1,unique,2,0.736627709
a,2003,unique,1,unique,2,2047.694784
b,2003,unique,1,unique,2,539.9526306
c,2003,unique,1,unique,2,0.736627709
a,2004,unique,1,unique,2,2047.694784
b,2004,unique,1,unique,2,539.9526306
c,2004,unique,1,unique,2,0.736627709
a,2005,unique,1,unique,2,2047.694784
b,2005,unique,1,unique,2,539.9526306
c,2005,unique,1,unique,2,0.736627709
a,2006,unique,1,unique,2,2047.694784
b,2006,unique,1,unique,2,539.9526306
c,2006,unique,1,unique,2,0.736627709
a,2007,unique,1,unique,2,2047.694784
b,2007,unique,1,unique,2,539.9526306
c,2007,unique,1,unique,2,0.736627709
a,2008,unique,1,unique,2,2047.694784
b,2008,unique,1,unique,2,539.9526306
c,2008,unique,1,unique,2,0.736627709
a,2009,unique,1,unique,2,2047.694784
b,2009,unique,1,unique,2,539.9526306
c,2009,unique,1,unique,2,0.736627709
a,2010,unique,1,unique,2,2047.694784
b,2010,unique,1,unique,2,539.9526306
c,2010,unique,1,unique,2,0.736627709
a,2011,unique,1,unique,2,2047.694784
b,2011,unique,1,unique,2,539.9526306
c,2011,unique,1,unique,2,0.736627709
a,2012,unique,1,unique,2,2047.694784
b,2012,unique,1,unique,2,539.9526306
c,2012,unique,1,unique,2,0.736627709
a,2013,unique,1,unique,2,2047.694784
b,2013,unique,1,unique,2,539.9526306
c,2013,unique,1,unique,2,0.736627709
a,2014,unique,1,unique,2,2047.694784
b,2014,unique,1,unique,2,539.9526306
c,2014,unique,1,unique,2,0.736627709
a,2015,unique,1,unique,2,2047.694784
b,2015,unique,1,unique,2,539.9526306
c,2015,unique,1,unique,2,0.736627709
a,2016,unique,1,unique,2,2047.694784
b,2016,unique,1,unique,2,539.9526306
c,2016,unique,1,unique,2,0.736627709
a,2017,unique,1,unique,2,2047.694784
b,2017,unique,1,unique,2,539.9526306
c,2017,unique,1,unique,2,0.736627709
a,2018,unique,1,unique,2,2047.694784
b,2018,unique,1,unique,2,539.9526306
c,2018,unique,1,unique,2,0.736627709
a,2019,unique,1,unique,2,2047.694784
b,2019,unique,1,unique,2,539.9526306
c,2019,unique,1,unique,2,0.736627709
a,2020,unique,1,unique,2,2047.694784
b,2020,unique,1,unique,2,539.9526306
c,2020,unique,1,unique,2,0.736627709
a,2021,unique,1,unique,2,2047.694784
b,2021,unique,1,unique,2,539.9526306
c,2021,unique,1,unique,2,0.736627709
a,2022,unique,1,unique,2,2047.694784
b,2022,unique,1,unique,2,539.9526306
c,2022,unique,1,unique,2,0.736627709
a,2023,unique,1,unique,2,2047.694784
b,2023,unique,1,unique,2,539.9526306
c,2023,unique,1,unique,2,0.736627709
a,2024,unique,1,unique,2,2047.694784
b,2024,unique,1,unique,2,539.9526306
c,2024,unique,1,unique,2,0.736627709
a,2025,unique,1,unique,2,2047.694784
b,2025,unique,1,unique,2,539.9526306
c,2025,unique,1,unique,2,0.736627709
a,1990,unique,1,unique,3,1914.226979
b,1990,unique,1,unique,3,515.0754097
c,1990,unique,1,unique,3,0.752158888
a,1991,unique,1,unique,3,1914.226979
b,1991,unique,1,unique,3,515.0754097
c,1991,unique,1,unique,3,0.752158888
a,1992,unique,1,unique,3,1914.226979
b,1992,unique,1,unique,3,515.0754097
c,1992,unique,1,unique,3,0.752158888
a,1993,unique,1,unique,3,1583.59239
b,1993,unique,1,unique,3,316.376912
c,1993,unique,1,unique,3,0.701131249
a,1994,unique,1,unique,3,1583.59239
b,1994,unique,1,unique,3,316.376912
c,1994,unique,1,unique,3,0.701131249
a,1995,unique,1,unique,3,1583.59239
b,1995,unique,1,unique,3,316.376912
c,1995,unique,1,unique,3,0.701131249
a,1996,unique,1,unique,3,1583.59239
b,1996,unique,1,unique,3,316.376912
c,1996,unique,1,unique,3,0.701131249
a,1997,unique,1,unique,3,1583.59239
b,1997,unique,1,unique,3,316.376912
c,1997,unique,1,unique,3,0.701131249
a,1998,unique,1,unique,3,1583.59239
b,1998,unique,1,unique,3,316.376912
c,1998,unique,1,unique,3,0.701131249
a,1999,unique,1,unique,3,1583.59239
b,1999,unique,1,unique,3,316.376912
c,1999,unique,1,unique,3,0.701131249
a,2000,unique,1,unique,3,1583.59239
b,2000,unique,1,unique,3,316.376912
c,2000,unique,1,unique,3,0.701131249
a,2001,unique,1,unique,3,1583.59239
b,2001,unique,1,unique,3,316.376912
c,2001,unique,1,unique,3,0.701131249
a,2002,unique,1,unique,3,1583.59239
b,2002,unique,1,unique,3,316.376912
c,2002,unique,1,unique,3,0.701131249
a,2003,unique,1,unique,3,1583.59239
b,2003,unique,1,unique,3,316.376912
c,2003,unique,1,unique,3,0.701131249
a,2004,unique,1,unique,3,1583.59239
b,2004,unique,1,unique,3,316.376912
c,2004,unique,1,unique,3,0.701131249
a,2005,unique,1,unique,3,1583.59239
b,2005,unique,1,unique,3,316.376912
c,2005,unique,1,unique,3,0.701131249
a,2006,unique,1,unique,3,1583.59239
b,2006,unique,1,unique,3,316.376912
c,2006,unique,1,unique,3,0.701131249
a,2007,unique,1,unique,3,1583.59239
b,2007,unique,1,unique,3,316.376912
c,2007,unique,1,unique,3,0.701131249
a,2008,unique,1,unique,3,1583.59239
b,2008,unique,1,unique,3,316.376912
c,2008,unique,1,unique,3,0.701131249
a,2009,unique,1,unique,3,1583.59239
b,2009,unique,1,unique,3,316.376912
c,2009,unique,1,unique,3,0.701131249
a,2010,unique,1,unique,3,1583.59239
b,2010,unique,1,unique,3,316.376912
c,2010,unique,1,unique,3,0.701131249
a,2011,unique,1,unique,3,1583.59239
b,2011,unique,1,unique,3,316.376912
c,2011,unique,1,unique,3,0.701131249
a,2012,unique,1,unique,3,1583.59239
b,2012,unique,1,unique,3,316.376912
c,2012,unique,1,unique,3,0.701131249
a,2013,unique,1,unique,3,1583.59239
b,2013,unique,1,unique,3,316.376912
c,2013,unique,1,unique,3,0.701131249
a,2014,unique,1,unique,3,1583.59239
b,2014,unique,1,unique,3,316.376912
c,2014,unique,1,unique,3,0.701131249
a,2015,unique,1,unique,3,1583.59239
b,2015,unique,1,unique,3,316.376912
c,2015,unique,1,unique,3,0.701131249
a,2016,unique,1,unique,3,1583.59239
b,2016,unique,1,unique,3,316.376912
c,2016,unique,1,unique,3,0.701131249
a,2017,unique,1,unique,3,1583.59239
b,2017,unique,1,unique,3,316.376912
c,2017,unique,1,unique,3,0.701131249
a,2018,unique,1,unique,3,1583.59239
b,2018,unique,1,unique,3,316.376912
c,2018,unique,1,unique,3,0.701131249
a,2019,unique,1,unique,3,1583.59239
b,2019,unique,1,unique,3,316.376912
c,2019,unique,1,unique,3,0.701131249
a,2020,unique,1,unique,3,1583.59239
b,2020,unique,1,unique,3,316.376912
c,2020,unique,1,unique,3,0.701131249
a,2021,unique,1,unique,3,1583.59239
b,2021,unique,1,unique,3,316.376912
c,2021,unique,1,unique,3,0.701131249
a,2022,unique,1,unique,3,1583.59239
b,2022,unique,1,unique,3,316.376912
c,2022,unique,1,unique,3,0.701131249
a,2023,unique,1,unique,3,1583.59239
b,2023,unique,1,unique,3,316.376912
c,2023,unique,1,unique,3,0.701131249
a,2024,unique,1,unique,3,1583.59239
b,2024,unique,1,unique,3,316.376912
c,2024,unique,1,unique,3,0.701131249
a,2025,unique,1,unique,3,1583.59239
b,2025,unique,1,unique,3,316.376912
c,2025,unique,1,unique,3,0.701131249
